nom,dosage,substance,presentation,forme,statut
CYBREAST,100 MG,PALBOCICLIB,BOITE DE 21,GELULE,AMM Sans Prix
CYBREAST,125 MG,PALBOCICLIB,BOITE DE 21,GELULE,AMM Sans Prix
CYCLO 3,"1,6 G / 2 G",EXTRAIT SEC DE RUSCUS ACULEATUS // EXTRAIT FLUIDE DE MELILOT,TUBE DE 40 G,CREME,Non Commercialisé
CYCLO 3 FORT,150 MG / 150 MG / 100 MG,EXTRAIT DE RUSCUS ACULEATUS // HESPERIDINE METHYLCHALCONE // VITAMINE C (ACIDE ASCORBIQUE),BOITE DE 30,GELULE,Commercialisé
CYCLOLUX,"0,5 MMOL / ML",ACIDE GADOTERIQUE,OITE D'UN FLACON DE 10 ML,SOLUTION INJECTABLE,Commercialisé
CYCLOLUX,"0,5 MMOL / ML",ACIDE GADOTERIQUE,OITE D'UN FLACON DE 15 ML,SOLUTION INJECTABLE,Commercialisé
CYCLOMIDE NOVOPHARMA,1000 MG,CYCLOPHOSPHAMIDE,FLACON DE 1000 MG,POUDRE POUR USAGE PARENTERALE,Commercialisé
CYCLOMIDE NOVOPHARMA,500 MG,CYCLOPHOSPHAMIDE,FLACON DE 500 MG,POUDRE POUR USAGE PARENTERALE,Commercialisé
CYMBALTA,30 MG,DULOXETINE (CHLORHYDRATE),BOITE DE 28,GELULE,Retiré du Marché
CYMBALTA,60 MG,DULOXETINE (CHLORHYDRATE),BOITE DE 28,GELULE,Non Commercialisé
CYMEVENE,500 MG,GANCICLOVIR,BOITE DE 1 FLACON,LYOPHILISAT POUR USAGE PARENTERAL,Commercialisé
CYRAMZA,10 MG / ML,RAMUCIRUMAB,UN FLACON DE 10 ML DE SOLUTION,SOLUTION A DILUER POUR PERFUSION,Commercialisé
CYRAMZA,10 MG / ML,RAMUCIRUMAB,UN FLACON DE 50 ML DE SOLUTION,SOLUTION A DILUER POUR PERFUSION,Non Commercialisé
CYTARABINE EBEWE,20 MG / ML,CYTARABINE,FLACON DE 5 ML,SOLUTION POUR PERFUSION,Commercialisé AO
CYTARABINE EBEWE,50 MG / ML,CYTARABINE,FLACON DE 10ML,SOLUTION POUR PERFUSION,Commercialisé AO
CYTEAL,"0,5 ML / 0,30 G / 0,10 G",CHLORHEXIDINE (DIGLUCONATE) // CHLOROCRESOL // HEXAMIDINE (DI-ISETHIONATE),FLACON DE 250 ML,SOLUTION MOUSSANTE,Commercialisé
CYTEAL,"0,5 ML / 0,30 G / 0,10 G",CHLORHEXIDINE (DIGLUCONATE) // CHLOROCRESOL // HEXAMIDINE (DI-ISETHIONATE),FLACON DE 500 ML,SOLUTION MOUSSANTE,Non Commercialisé
CYTOMIB,"3,5 MG",BORTEZOMIB,BOITE DE 1 FLACON DE 10 ML,POUDRE POUR SOLUTION INJECTABLE,Commercialisé AO
CYTOTEC,200 µG,MISOPROSTOL,BOITE DE 60,COMPRIME,Non Commercialisé
